HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0000001,1-Methylhistidine,Blood,Adult,11.78571429,uM
HMDB0000001,1-Methylhistidine,Blood,Children,9.1,uM
HMDB0000001,1-Methylhistidine,Cerebrospinal Fluid (CSF),Adult,4,uM
HMDB0000001,1-Methylhistidine,Saliva,Adult,26.34,uM
HMDB0000001,1-Methylhistidine,Urine,Adolescent,88.29,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,Urine,Adult,21.53177368,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,Urine,Children,21.329,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,Urine,Infant,24.655,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,Urine,Newborn,50.12,umol/mmol creatinine
HMDB0000002,"1,3-Diaminopropane",Blood,Adult,0.0415,uM
HMDB0000002,"1,3-Diaminopropane",Urine,Adult,0.98125,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,Blood,Adult,6.365,uM
HMDB0000005,2-Ketobutyric acid,Blood,Children,8.6,uM
HMDB0000005,2-Ketobutyric acid,Cerebrospinal Fluid (CSF),Children,4.8,uM
HMDB0000005,2-Ketobutyric acid,Saliva,Adult,2.7103,uM
HMDB0000005,2-Ketobutyric acid,Urine,Adult,1.505,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,Urine,Children,9.476,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,Urine,Newborn,25,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,Blood,Adult,37.03333333,uM
HMDB0000008,2-Hydroxybutyric acid,Cerebrospinal Fluid (CSF),Adult,53.33333333,uM
HMDB0000008,2-Hydroxybutyric acid,Cerebrospinal Fluid (CSF),Children,37,uM
HMDB0000008,2-Hydroxybutyric acid,Saliva,Adult,10.42,uM
HMDB0000008,2-Hydroxybutyric acid,Urine,Adult,2.6225,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,Urine,Children,3.29,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,Urine,Infant,5,umol/mmol creatinine
HMDB0000010,2-Methoxyestrone,Urine,Adult,0.005,umol/mmol creatinine
HMDB0000011,3-Hydroxybutyric acid,Blood,Adult,91.09142857,uM
HMDB0000011,3-Hydroxybutyric acid,Blood,Children,185,uM
HMDB0000011,3-Hydroxybutyric acid,Blood,Infant,1450,uM
HMDB0000011,3-Hydroxybutyric acid,Blood,Newborn,565,uM
HMDB0000011,3-Hydroxybutyric acid,Cellular Cytoplasm,Adult,1300,uM
HMDB0000011,3-Hydroxybutyric acid,Cerebrospinal Fluid (CSF),Adult,92.88,uM
HMDB0000011,3-Hydroxybutyric acid,Feces,Adult,22.0932,nmol/g wet feces
HMDB0000011,3-Hydroxybutyric acid,Saliva,Adult,5.981666667,uM
HMDB0000011,3-Hydroxybutyric acid,Urine,Adolescent,1.3,umol/mmol creatinine
HMDB0000011,3-Hydroxybutyric acid,Urine,Adult,13.476,umol/mmol creatinine
HMDB0000011,3-Hydroxybutyric acid,Urine,Children,1512.3465,umol/mmol creatinine
HMDB0000011,3-Hydroxybutyric acid,Urine,Infant,2.3,umol/mmol creatinine
HMDB0000011,3-Hydroxybutyric acid,Urine,Newborn,2.85425,umol/mmol creatinine
HMDB0000012,Deoxyuridine,Blood,Adult,0.284,uM
HMDB0000012,Deoxyuridine,Cerebrospinal Fluid (CSF),Adult,0.05,uM
HMDB0000012,Deoxyuridine,Urine,Adult,1,umol/mmol creatinine
HMDB0000012,Deoxyuridine,Urine,Children,1,umol/mmol creatinine
HMDB0000012,Deoxyuridine,Urine,Infant,0.15,umol/mmol creatinine
HMDB0000014,Deoxycytidine,Blood,Adult,0.2,uM
HMDB0000014,Deoxycytidine,Urine,Adult,0.65,umol/mmol creatinine
HMDB0000015,Cortexolone,Blood,Adult,0.0039,uM
HMDB0000015,Cortexolone,Blood,Newborn,0.03,uM
HMDB0000015,Cortexolone,Urine,Adult,0.02,umol/mmol creatinine
HMDB0000015,Cortexolone,Urine,Newborn,89.4585,umol/mmol creatinine
HMDB0000016,Deoxycorticosterone,Amniotic Fluid,Adult,10.591,uM
HMDB0000016,Deoxycorticosterone,Blood,Adult,0.073,uM
HMDB0000017,4-Pyridoxic acid,Blood,Adult,0.02095,uM
HMDB0000017,4-Pyridoxic acid,Cerebrospinal Fluid (CSF),Children,0.001545,uM
HMDB0000017,4-Pyridoxic acid,Urine,Adolescent,0.4135,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,Urine,Adult,1.375,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,Urine,Children,3.066,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,Urine,Infant,2.99,umol/mmol creatinine
HMDB0000019,alpha-Ketoisovaleric acid,Blood,Adult,8.397,uM
HMDB0000019,alpha-Ketoisovaleric acid,Blood,Children,14,uM
HMDB0000019,alpha-Ketoisovaleric acid,Cerebrospinal Fluid (CSF),Adult,7.1,uM
HMDB0000019,alpha-Ketoisovaleric acid,Saliva,Adult,0.654333333,uM
HMDB0000019,alpha-Ketoisovaleric acid,Urine,Adult,0.1925,umol/mmol creatinine
HMDB0000019,alpha-Ketoisovaleric acid,Urine,Infant,0.16,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,Blood,Adult,8.9105,uM
HMDB0000020,p-Hydroxyphenylacetic acid,Cerebrospinal Fluid (CSF),Adult,0.05,uM
HMDB0000020,p-Hydroxyphenylacetic acid,Feces,Adult,32.48265714,nmol/g wet feces
HMDB0000020,p-Hydroxyphenylacetic acid,Saliva,Adult,10.7475,uM
HMDB0000020,p-Hydroxyphenylacetic acid,Urine,Adolescent,23.35,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,Urine,Adult,8.865571429,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,Urine,Children,19.62,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,Urine,Infant,48.7138,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,Urine,Newborn,321.8,umol/mmol creatinine
HMDB0000021,Iodotyrosine,Blood,Adult,6.90E-04,uM
HMDB0000022,3-Methoxytyramine,Blood,Adult,0.0025,uM
HMDB0000022,3-Methoxytyramine,Cerebrospinal Fluid (CSF),Adult,0.002585,uM
HMDB0000022,3-Methoxytyramine,Urine,Adult,0.6,umol/mmol creatinine
HMDB0000022,3-Methoxytyramine,Urine,Children,0.014,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Blood,Adult,15.7865,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Blood,Children,20,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Cerebrospinal Fluid (CSF),Adult,18,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Saliva,Adult,1.23,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Urine,Adolescent,7.8,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Urine,Adult,20,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Urine,Children,11.63,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Urine,Infant,25.4,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Urine,Newborn,14.5,umol/mmol creatinine
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),Urine,Adult,0.205,umol/mmol creatinine
HMDB0000026,Ureidopropionic acid,Cerebrospinal Fluid (CSF),Children,0.25,uM
HMDB0000026,Ureidopropionic acid,Urine,Adult,1.733333333,umol/mmol creatinine
HMDB0000026,Ureidopropionic acid,Urine,Infant,1.6,umol/mmol creatinine
HMDB0000027,Tetrahydrobiopterin,Blood,Adult,0.01015,uM
HMDB0000027,Tetrahydrobiopterin,Cerebrospinal Fluid (CSF),Adult,0.026,uM
HMDB0000030,Biotin,Blood,Adult,0.001835,uM
HMDB0000030,Biotin,Blood,Children,0.0016,uM
HMDB0000030,Biotin,Blood,Newborn,0.0034,uM
HMDB0000030,Biotin,Cerebrospinal Fluid (CSF),Adult,5.29E-04,uM
HMDB0000030,Biotin,Saliva,Adult,0.163333333,uM
HMDB0000030,Biotin,Urine,Adult,0.036,umol/mmol creatinine
HMDB0000030,Biotin,Urine,Children,0.014,umol/mmol creatinine
HMDB0000031,Androsterone,Blood,Adult,0.060325,uM
HMDB0000031,Androsterone,Urine,Adult,1.87,umol/mmol creatinine
HMDB0000031,Androsterone,Urine,Children,0.66,umol/mmol creatinine
HMDB0000032,7-Dehydrocholesterol,Blood,Adult,4.005,uM
HMDB0000032,7-Dehydrocholesterol,Blood,Children,0.325,uM
HMDB0000032,7-Dehydrocholesterol,Cerebrospinal Fluid (CSF),Adult,0.01,uM
HMDB0000032,7-Dehydrocholesterol,Urine,Adult,0.029,umol/mmol creatinine
HMDB0000033,Carnosine,Blood,Adult,6.54,uM
HMDB0000033,Carnosine,Blood,Infant,3.1,uM
HMDB0000033,Carnosine,Saliva,Adult,0.292,uM
HMDB0000033,Carnosine,Urine,Adolescent,6.165,umol/mmol creatinine
HMDB0000033,Carnosine,Urine,Adult,4.963366667,umol/mmol creatinine
HMDB0000033,Carnosine,Urine,Children,10.0544,umol/mmol creatinine
HMDB0000033,Carnosine,Urine,Infant,59.265,umol/mmol creatinine
HMDB0000033,Carnosine,Urine,Newborn,2.955,umol/mmol creatinine
HMDB0000034,Adenine,Blood,Adult,0.358666667,uM
HMDB0000034,Adenine,Cerebrospinal Fluid (CSF),Adult,0.1,uM
HMDB0000034,Adenine,Saliva,Adult,0.929333333,uM
HMDB0000034,Adenine,Urine,Adult,1.573333333,umol/mmol creatinine
HMDB0000034,Adenine,Urine,Children,4.087,umol/mmol creatinine
HMDB0000034,Adenine,Urine,Infant,0.05,umol/mmol creatinine
HMDB0000034,Adenine,Urine,Newborn,16.5,umol/mmol creatinine
HMDB0000036,Taurocholic acid,Bile,Adult,9910,uM
HMDB0000036,Taurocholic acid,Blood,Adult,0.2023,uM
HMDB0000036,Taurocholic acid,Blood,Infant,0.1,uM
HMDB0000036,Taurocholic acid,Feces,Adult,5.78,nmol/g dry feces
HMDB0000037,Aldosterone,Blood,Adolescent,2.08E-04,uM
HMDB0000037,Aldosterone,Blood,Adult,1.33E-04,uM
HMDB0000037,Aldosterone,Blood,Elderly,3.51E-04,uM
HMDB0000037,Aldosterone,Blood,Infant,6.81E-04,uM
HMDB0000037,Aldosterone,Blood,Newborn,0.00212,uM
HMDB0000037,Aldosterone,Saliva,Adult,0.5,uM
HMDB0000037,Aldosterone,Urine,Adult,0.01,umol/mmol creatinine
HMDB0000037,Aldosterone,Urine,Infant,0.0020995,umol/mmol creatinine
HMDB0000037,Aldosterone,Urine,Newborn,0.0010795,umol/mmol creatinine
HMDB0000038,Dihydrobiopterin,Blood,Adult,0.006,uM
HMDB0000038,Dihydrobiopterin,Cerebrospinal Fluid (CSF),Adult,0.0072,uM
HMDB0000038,Dihydrobiopterin,Saliva,Adult,10.9675,uM
HMDB0000039,Butyric acid,Blood,Adult,1.205,uM
HMDB0000039,Butyric acid,Breast Milk,Adult,192,uM
HMDB0000039,Butyric acid,Cerebrospinal Fluid (CSF),Adult,1.4,uM
HMDB0000039,Butyric acid,Feces,Adult,9375,nmol/g wet feces
HMDB0000039,Butyric acid,Feces,Children,28394.1185,nmol/g wet feces
HMDB0000039,Butyric acid,Saliva,Adult,215.9475,uM
HMDB0000039,Butyric acid,Urine,Adult,14.577,umol/mmol creatinine
HMDB0000039,Butyric acid,Urine,Children,4.002,umol/mmol creatinine
HMDB0000039,Butyric acid,Urine,Infant,3.2,umol/mmol creatinine
HMDB0000039,Butyric acid,Urine,Newborn,0.295,umol/mmol creatinine
HMDB0000042,Acetic acid,Blood,Adult,63.435,uM
HMDB0000042,Acetic acid,Breast Milk,Adult,27.5,uM
HMDB0000042,Acetic acid,Cerebrospinal Fluid (CSF),Adult,91.33333333,uM
HMDB0000042,Acetic acid,Cerebrospinal Fluid (CSF),Children,284,uM
HMDB0000042,Acetic acid,Feces,Adult,36630,nmol/g wet feces
HMDB0000042,Acetic acid,Feces,Children,1518628.3,nmol/g wet feces
HMDB0000042,Acetic acid,Saliva,Adult,6520.636429,uM
HMDB0000042,Acetic acid,Urine,Adult,20.54666667,umol/mmol creatinine
HMDB0000042,Acetic acid,Urine,Children,16.064,umol/mmol creatinine
HMDB0000042,Acetic acid,Urine,Newborn,0.1005,umol/mmol creatinine
HMDB0000043,Betaine,Blood,Adult,55.89333333,uM
HMDB0000043,Betaine,Breast Milk,Adult,30.3,uM
HMDB0000043,Betaine,Saliva,Adult,8.7625,uM
HMDB0000043,Betaine,Urine,Adult,17.835,umol/mmol creatinine
HMDB0000043,Betaine,Urine,Children,16.883,umol/mmol creatinine
HMDB0000043,Betaine,Urine,Newborn,93.9176325,umol/mmol creatinine
HMDB0000044,Ascorbic acid,Amniotic Fluid,Adult,20.4,uM
HMDB0000044,Ascorbic acid,Blood,Adult,36.2079,uM
HMDB0000044,Ascorbic acid,Blood,Children,88.6,uM
HMDB0000044,Ascorbic acid,Blood,Newborn,51,uM
HMDB0000044,Ascorbic acid,Breast Milk,Adult,96.6,uM
HMDB0000044,Ascorbic acid,Cellular Cytoplasm,Adult,68,uM
HMDB0000044,Ascorbic acid,Cerebrospinal Fluid (CSF),Adult,134.56,uM
HMDB0000044,Ascorbic acid,Saliva,Adult,3.112333333,uM
HMDB0000044,Ascorbic acid,Urine,Adult,16.506,umol/mmol creatinine
HMDB0000044,Ascorbic acid,Urine,Children,38.971,umol/mmol creatinine
HMDB0000044,Ascorbic acid,Urine,Infant,63.6,umol/mmol creatinine
HMDB0000044,Ascorbic acid,Urine,Newborn,17,umol/mmol creatinine
HMDB0000045,Adenosine monophosphate,Blood,Adult,19.075,uM
HMDB0000045,Adenosine monophosphate,Cellular Cytoplasm,Children,51.5,uM
HMDB0000045,Adenosine monophosphate,Cerebrospinal Fluid (CSF),Adult,0.1,uM
HMDB0000045,Adenosine monophosphate,Saliva,Adult,1.14,uM
HMDB0000048,Melibiose,Urine,Children,0.05,umol/mmol creatinine
HMDB0000050,Adenosine,Blood,Adult,1.014214286,uM
HMDB0000050,Adenosine,Breast Milk,Adult,2.96,uM
HMDB0000050,Adenosine,Cellular Cytoplasm,Adult,1.2,uM
HMDB0000050,Adenosine,Cerebrospinal Fluid (CSF),Adult,0.01,uM
HMDB0000050,Adenosine,Saliva,Adult,0.292,uM
HMDB0000050,Adenosine,Urine,Adult,1.422,umol/mmol creatinine
HMDB0000050,Adenosine,Urine,Children,13.4,umol/mmol creatinine
HMDB0000050,Adenosine,Urine,Infant,0.2,umol/mmol creatinine
HMDB0000051,Ammonia,Blood,Adolescent,21,uM
HMDB0000051,Ammonia,Blood,Adult,32.4,uM
HMDB0000051,Ammonia,Blood,Children,1467.955,uM
HMDB0000051,Ammonia,Blood,Infant,33.25,uM
HMDB0000051,Ammonia,Blood,Newborn,27.5,uM
HMDB0000051,Ammonia,Cellular Cytoplasm,Adult,800,uM
HMDB0000051,Ammonia,Cerebrospinal Fluid (CSF),Adult,11.9,uM
HMDB0000051,Ammonia,Urine,Adult,2346.666667,umol/mmol creatinine
HMDB0000052,Argininosuccinic acid,Blood,Children,1.833333333,uM
HMDB0000052,Argininosuccinic acid,Blood,Infant,1.75,uM
HMDB0000052,Argininosuccinic acid,Blood,Newborn,2.5,uM
HMDB0000052,Argininosuccinic acid,Urine,Adolescent,3.905,umol/mmol creatinine
HMDB0000052,Argininosuccinic acid,Urine,Adult,0,umol/mmol creatinine
HMDB0000052,Argininosuccinic acid,Urine,Children,2.055,umol/mmol creatinine
HMDB0000052,Argininosuccinic acid,Urine,Infant,3.1775,umol/mmol creatinine
HMDB0000052,Argininosuccinic acid,Urine,Newborn,49.5,umol/mmol creatinine
HMDB0000053,Androstenedione,Blood,Adolescent,0.005,uM
HMDB0000053,Androstenedione,Blood,Adult,0.004248333,uM
HMDB0000053,Androstenedione,Blood,Children,0.0024,uM
HMDB0000053,Androstenedione,Blood,Infant,0.007,uM
HMDB0000053,Androstenedione,Blood,Newborn,6.98E-04,uM
HMDB0000053,Androstenedione,Cerebrospinal Fluid (CSF),Adult,0.00101,uM
HMDB0000053,Androstenedione,Urine,Adult,0.0484,umol/mmol creatinine
HMDB0000053,Androstenedione,Urine,Newborn,3.95E-04,umol/mmol creatinine
HMDB0000054,Bilirubin,Blood,Adult,10.1,uM
HMDB0000054,Bilirubin,Blood,Children,8.470875,uM
HMDB0000054,Bilirubin,Blood,Newborn,310.265,uM
HMDB0000054,Bilirubin,Cerebrospinal Fluid (CSF),Adult,0.1,uM
HMDB0000054,Bilirubin,Urine,Adult,0.032,umol/mmol creatinine
HMDB0000056,beta-Alanine,Blood,Adult,2.55,uM
HMDB0000056,beta-Alanine,Cerebrospinal Fluid (CSF),Adult,0.024,uM
HMDB0000056,beta-Alanine,Saliva,Adult,1.472,uM
HMDB0000056,beta-Alanine,Urine,Adolescent,2.77,umol/mmol creatinine
HMDB0000056,beta-Alanine,Urine,Adult,1.296595,umol/mmol creatinine
HMDB0000056,beta-Alanine,Urine,Children,11.821,umol/mmol creatinine
HMDB0000056,beta-Alanine,Urine,Infant,0.23,umol/mmol creatinine
HMDB0000056,beta-Alanine,Urine,Newborn,11.68333333,umol/mmol creatinine
HMDB0000058,Cyclic AMP,Blood,Adult,0.0085,uM
HMDB0000058,Cyclic AMP,Cerebrospinal Fluid (CSF),Adult,0.021,uM
HMDB0000058,Cyclic AMP,Urine,Adult,0.3,umol/mmol creatinine
HMDB0000060,Acetoacetic acid,Blood,Adult,33.11666667,uM
HMDB0000060,Acetoacetic acid,Blood,Infant,65,uM
HMDB0000060,Acetoacetic acid,Cellular Cytoplasm,Adult,1700,uM
HMDB0000060,Acetoacetic acid,Cerebrospinal Fluid (CSF),Adult,17.6,uM
HMDB0000060,Acetoacetic acid,Saliva,Adult,10.7,uM
HMDB0000060,Acetoacetic acid,Urine,Adult,11.1125,umol/mmol creatinine
HMDB0000060,Acetoacetic acid,Urine,Children,18.64,umol/mmol creatinine
HMDB0000060,Acetoacetic acid,Urine,Newborn,16.5,umol/mmol creatinine
HMDB0000061,"Adenosine 3',5'-diphosphate",Cellular Cytoplasm,Adult,137,uM
HMDB0000062,L-Carnitine,Blood,Adult,38.39375,uM
HMDB0000062,L-Carnitine,Blood,Children,30.982,uM
HMDB0000062,L-Carnitine,Blood,Infant,41.2,uM
HMDB0000062,L-Carnitine,Blood,Newborn,15.5,uM
HMDB0000062,L-Carnitine,Breast Milk,Adult,26.2,uM
HMDB0000062,L-Carnitine,Cerebrospinal Fluid (CSF),Adult,2.95,uM
HMDB0000062,L-Carnitine,Feces,Adult,14,nmol/g wet feces
HMDB0000062,L-Carnitine,Saliva,Adult,2.273333333,uM
HMDB0000062,L-Carnitine,Urine,Adolescent,6926.2,umol/mmol creatinine
HMDB0000062,L-Carnitine,Urine,Adult,10.08614286,umol/mmol creatinine
HMDB0000062,L-Carnitine,Urine,Children,18.159,umol/mmol creatinine
HMDB0000062,L-Carnitine,Urine,Newborn,1.715,umol/mmol creatinine
HMDB0000063,Cortisol,Blood,Adolescent,0.2835,uM
HMDB0000063,Cortisol,Blood,Adult,0.263,uM
HMDB0000063,Cortisol,Blood,Children,0.229666667,uM
HMDB0000063,Cortisol,Blood,Infant,0.321125,uM
HMDB0000063,Cortisol,Blood,Newborn,0.25375,uM
HMDB0000063,Cortisol,Cerebrospinal Fluid (CSF),Adult,0.025,uM
HMDB0000063,Cortisol,Cerebrospinal Fluid (CSF),Elderly,0.052,uM
HMDB0000063,Cortisol,Saliva,Adult,0.47544,uM
HMDB0000063,Cortisol,Urine,Adult,0.010066667,umol/mmol creatinine
HMDB0000063,Cortisol,Urine,Infant,0.01012,umol/mmol creatinine
HMDB0000064,Creatine,Blood,Adult,49.991975,uM
HMDB0000064,Creatine,Blood,Children,53,uM
HMDB0000064,Creatine,Blood,Newborn,84,uM
HMDB0000064,Creatine,Breast Milk,Adult,51.6,uM
HMDB0000064,Creatine,Cerebrospinal Fluid (CSF),Adult,44,uM
HMDB0000064,Creatine,Saliva,Adult,25.36333333,uM
HMDB0000064,Creatine,Urine,Adult,59.21666667,umol/mmol creatinine
HMDB0000064,Creatine,Urine,Children,497.145,umol/mmol creatinine
HMDB0000064,Creatine,Urine,Newborn,33.842705,umol/mmol creatinine
HMDB0000067,Cholesterol,Bile,Adult,11500,uM
HMDB0000067,Cholesterol,Blood,Adolescent,4086.346,uM
HMDB0000067,Cholesterol,Blood,Adult,3942.181444,uM
HMDB0000067,Cholesterol,Blood,Children,3402.51325,uM
HMDB0000067,Cholesterol,Blood,Infant,3239.335,uM
HMDB0000067,Cholesterol,Blood,Newborn,2081.968,uM
HMDB0000067,Cholesterol,Cerebrospinal Fluid (CSF),Adult,6.31,uM
HMDB0000067,Cholesterol,Saliva,Adult,0.5,uM
HMDB0000068,Epinephrine,Blood,Adult,6.52E-04,uM
HMDB0000068,Epinephrine,Cerebrospinal Fluid (CSF),Adult,0.00861875,uM
HMDB0000068,Epinephrine,Urine,Adult,0.004333333,umol/mmol creatinine
HMDB0000068,Epinephrine,Urine,Children,0.002,umol/mmol creatinine
HMDB0000068,Epinephrine,Urine,Infant,0.016,umol/mmol creatinine
HMDB0000070,Pipecolic acid,Amniotic Fluid,Adult,4.65,uM
HMDB0000070,Pipecolic acid,Blood,Adult,5.66925,uM
HMDB0000070,Pipecolic acid,Blood,Children,10,uM
HMDB0000070,Pipecolic acid,Blood,Infant,2,uM
HMDB0000070,Pipecolic acid,Blood,Newborn,3.595,uM
HMDB0000070,Pipecolic acid,Cerebrospinal Fluid (CSF),Adolescent,0.075,uM
HMDB0000070,Pipecolic acid,Cerebrospinal Fluid (CSF),Adult,0.22575,uM
HMDB0000070,Pipecolic acid,Cerebrospinal Fluid (CSF),Children,0.541666667,uM
HMDB0000070,Pipecolic acid,Feces,Adult,61.166,nmol/g wet feces
HMDB0000070,Pipecolic acid,Urine,Adolescent,0.32,umol/mmol creatinine
HMDB0000070,Pipecolic acid,Urine,Adult,0.114,umol/mmol creatinine
HMDB0000070,Pipecolic acid,Urine,Children,0.8485,umol/mmol creatinine
HMDB0000070,Pipecolic acid,Urine,Infant,0.03,umol/mmol creatinine
HMDB0000070,Pipecolic acid,Urine,Newborn,12.665,umol/mmol creatinine
HMDB0000071,Deoxyinosine,Urine,Adult,1,umol/mmol creatinine
HMDB0000071,Deoxyinosine,Urine,Children,3,umol/mmol creatinine
HMDB0000071,Deoxyinosine,Urine,Infant,0.05,umol/mmol creatinine
HMDB0000072,cis-Aconitic acid,Blood,Adult,0.522,uM
HMDB0000072,cis-Aconitic acid,Breast Milk,Adult,10.1,uM
HMDB0000072,cis-Aconitic acid,Cerebrospinal Fluid (CSF),Adult,20,uM
HMDB0000072,cis-Aconitic acid,Cerebrospinal Fluid (CSF),Children,2,uM
HMDB0000072,cis-Aconitic acid,Saliva,Adult,0.8478,uM
HMDB0000072,cis-Aconitic acid,Sweat,Adult,5,uM
HMDB0000072,cis-Aconitic acid,Urine,Adolescent,29.8,umol/mmol creatinine
HMDB0000072,cis-Aconitic acid,Urine,Adult,20.0375,umol/mmol creatinine
HMDB0000072,cis-Aconitic acid,Urine,Children,42.02833333,umol/mmol creatinine
HMDB0000072,cis-Aconitic acid,Urine,Infant,73.8,umol/mmol creatinine
HMDB0000072,cis-Aconitic acid,Urine,Newborn,67.9,umol/mmol creatinine
HMDB0000073,Dopamine,Blood,Adult,1.24E-04,uM
HMDB0000073,Dopamine,Cerebrospinal Fluid (CSF),Adult,0.00325,uM
HMDB0000073,Dopamine,Cerebrospinal Fluid (CSF),Elderly,0.0059,uM
HMDB0000073,Dopamine,Urine,Adolescent,0.44,umol/mmol creatinine
HMDB0000073,Dopamine,Urine,Adult,0.1858,umol/mmol creatinine
HMDB0000073,Dopamine,Urine,Children,0.5024,umol/mmol creatinine
HMDB0000073,Dopamine,Urine,Infant,1.442,umol/mmol creatinine
HMDB0000073,Dopamine,Urine,Newborn,1.205,umol/mmol creatinine
HMDB0000076,Dihydrouracil,Blood,Adult,0.335,uM
HMDB0000076,Dihydrouracil,Cerebrospinal Fluid (CSF),Adult,2.1,uM
HMDB0000076,Dihydrouracil,Saliva,Adult,1952.594286,uM
HMDB0000076,Dihydrouracil,Urine,Adult,2.4975,umol/mmol creatinine
HMDB0000076,Dihydrouracil,Urine,Children,11.25,umol/mmol creatinine
HMDB0000076,Dihydrouracil,Urine,Infant,12.2,umol/mmol creatinine
HMDB0000077,Dehydroepiandrosterone,Blood,Adult,0.01632,uM
HMDB0000077,Dehydroepiandrosterone,Blood,Children,0.001975,uM
HMDB0000077,Dehydroepiandrosterone,Blood,Infant,0.01055,uM
HMDB0000077,Dehydroepiandrosterone,Blood,Newborn,0.01842,uM
HMDB0000077,Dehydroepiandrosterone,Cerebrospinal Fluid (CSF),Adult,0.00101,uM
HMDB0000077,Dehydroepiandrosterone,Saliva,Adult,0.0033,uM
HMDB0000077,Dehydroepiandrosterone,Urine,Adult,0.0634,umol/mmol creatinine
HMDB0000077,Dehydroepiandrosterone,Urine,Newborn,0.0022,umol/mmol creatinine
HMDB0000078,Cysteinylglycine,Blood,Adolescent,55.75,uM
HMDB0000078,Cysteinylglycine,Blood,Adult,44.16666667,uM
HMDB0000078,Cysteinylglycine,Blood,Children,59.7,uM
HMDB0000078,Cysteinylglycine,Blood,Infant,51.75,uM
HMDB0000078,Cysteinylglycine,Cerebrospinal Fluid (CSF),Adult,2.31,uM
HMDB0000078,Cysteinylglycine,Saliva,Adult,3.726666667,uM
HMDB0000078,Cysteinylglycine,Urine,Adult,0.54,umol/mmol creatinine
HMDB0000079,Dihydrothymine,Cerebrospinal Fluid (CSF),Adult,1.1,uM
HMDB0000079,Dihydrothymine,Urine,Adult,1.754,umol/mmol creatinine
HMDB0000079,Dihydrothymine,Urine,Children,8.736,umol/mmol creatinine
HMDB0000079,Dihydrothymine,Urine,Infant,0.3,umol/mmol creatinine
HMDB0000082,Cytidine triphosphate,Cellular Cytoplasm,Adult,19,uM
HMDB0000085,Deoxyguanosine,Blood,Children,0,uM
HMDB0000085,Deoxyguanosine,Urine,Adult,1,umol/mmol creatinine
HMDB0000085,Deoxyguanosine,Urine,Children,2.5,umol/mmol creatinine
HMDB0000085,Deoxyguanosine,Urine,Infant,0.05,umol/mmol creatinine
HMDB0000086,Glycerophosphocholine,Blood,Adult,17.7,uM
HMDB0000086,Glycerophosphocholine,Blood,Infant,31.5,uM
HMDB0000086,Glycerophosphocholine,Blood,Newborn,40,uM
HMDB0000086,Glycerophosphocholine,Breast Milk,Adult,416.5,uM
HMDB0000086,Glycerophosphocholine,Cerebrospinal Fluid (CSF),Adult,3.92,uM
HMDB0000086,Glycerophosphocholine,Saliva,Adult,3.1,uM
HMDB0000086,Glycerophosphocholine,Semen,Adult,2.5,uM
HMDB0000087,Dimethylamine,Blood,Adult,15.1852,uM
HMDB0000087,Dimethylamine,Cerebrospinal Fluid (CSF),Adult,2,uM
HMDB0000087,Dimethylamine,Saliva,Adult,32.80333333,uM
HMDB0000087,Dimethylamine,Sweat,Adult,5,uM
HMDB0000087,Dimethylamine,Urine,Adult,30.0475,umol/mmol creatinine
HMDB0000087,Dimethylamine,Urine,Children,40.70966667,umol/mmol creatinine
HMDB0000087,Dimethylamine,Urine,Newborn,0.11025,umol/mmol creatinine
HMDB0000089,Cytidine,Blood,Adult,0.175,uM
HMDB0000089,Cytidine,Blood,Children,1,uM
HMDB0000089,Cytidine,Breast Milk,Adult,4.27,uM
